ID,Name,Age,Gender,Salary
27099,Mary,54,Female,79294
17465,John,50,Female,57749
36765,Mary,45,Female,30362
24186,John,40,Non-binary,70121
24446,John,58,Female,74126
47258,John,43,Female,52486
37923,Sarah,48,Non-binary,98143
15861,Mary,25,Non-binary,49443
45249,James,51,Male,69260
14475,Mary,64,Male,40620
43355,James,39,Female,67759
7524,David,63,Non-binary,73977
4100,John,34,Male,68861
306,John,46,Male,84397
49560,John,25,Male,81471
16411,James,49,Non-binary,73724
36362,James,59,Male,76459
16959,James,19,Female,84647
21333,Mary,50,Non-binary,69177
1957,John,18,Non-binary,78626
18931,David,47,Non-binary,86888
1647,Mary,45,Female,73096
23067,James,34,Female,89527
18995,Sarah,47,Male,43464
5125,James,39,Non-binary,91119
45047,Sarah,58,Non-binary,90478
33057,John,56,Male,46403
17341,James,50,Non-binary,42295
25544,Mary,42,Male,53505
56,David,35,Female,78760
40868,David,55,Female,46639
3964,David,37,Female,30929
23692,David,62,Female,44046
3773,Mary,42,Male,39537
27558,David,32,Non-binary,63027
6561,Sarah,35,Non-binary,95322
36073,Sarah,19,Female,83334
14295,David,21,Male,82743
43588,David,19,Non-binary,77511
8819,Sarah,57,Female,85897
11246,John,22,Male,86772
32134,John,18,Male,79203
43603,John,22,Male,42565
2760,David,48,Male,95120
47810,John,62,Male,81968
2857,James,22,Male,45309
31697,Sarah,52,Female,31891
37062,Sarah,43,Male,86342
46317,Mary,63,Male,87327
38522,James,23,Male,49911
13935,Sarah,47,Female,40277
11541,John,49,Female,54445
28719,James,61,Male,90083
23531,James,61,Non-binary,83105
29029,David,19,Female,88625
3998,David,49,Non-binary,52872
7252,James,28,Female,46414
41338,Sarah,24,Non-binary,47596
26004,David,64,Non-binary,59258
39675,James,48,Non-binary,51564
34779,James,37,Male,45331
31501,John,39,Male,52256
20073,John,20,Female,30372
49591,James,52,Non-binary,45146
21286,John,45,Male,48937
3357,John,59,Female,35747
13877,John,43,Non-binary,38408
42448,James,28,Non-binary,60152
27594,Mary,21,Male,66183
43380,David,39,Male,62141
43148,John,55,Non-binary,47573
48062,John,25,Female,33496
36090,Sarah,50,Male,48573
17944,David,25,Non-binary,91607
42323,James,44,Non-binary,65466
43757,Mary,32,Female,35646
5599,John,22,Non-binary,64022
17646,James,41,Non-binary,42861
20552,Sarah,37,Female,77196
46232,Mary,33,Female,84352
30869,David,44,Non-binary,31931
43601,Sarah,48,Female,77880
10184,David,46,Non-binary,65055
42694,Sarah,61,Female,56030
3418,David,49,Male,81851
28687,David,47,Male,83793
20697,Mary,40,Non-binary,76991
24319,James,43,Non-binary,31624
49119,John,33,Non-binary,37968
26668,Sarah,28,Female,69022
11664,Sarah,31,Non-binary,30440
5216,James,23,Female,37124
36834,David,61,Male,90378
9030,Sarah,18,Non-binary,94011
8250,David,27,Female,96990
10344,John,41,Female,31156
3920,James,30,Female,93148
3696,David,59,Non-binary,70390
15544,David,35,Male,59518
30046,James,25,Female,78210
40938,David,54,Non-binary,96647
16317,David,56,Male,42089
206,Sarah,33,Non-binary,81720
32129,Sarah,48,Non-binary,59678
11691,David,40,Female,92850
45326,David,20,Female,80573
21496,John,45,Non-binary,95572
4396,Mary,38,Non-binary,88188
2020,James,43,Male,36805
13571,John,38,Female,60244
47557,Mary,62,Non-binary,49107
27993,John,53,Male,43719
44793,Mary,43,Non-binary,57677
49289,Mary,43,Male,70724
32065,John,43,Male,69668
7105,James,63,Female,73521
14575,John,47,Female,71404
34411,David,61,Female,93341
46591,James,25,Male,82393
36914,James,33,Female,67251
15366,John,32,Non-binary,69659
7874,Mary,46,Male,71922
41739,Mary,29,Non-binary,34085
11467,David,45,Non-binary,53330
19148,David,39,Male,45509
20744,James,41,Female,91489
21647,David,53,Female,44059
996,James,53,Male,79537
31342,James,50,Male,74556
35612,David,19,Male,68565
22796,Mary,20,Female,73225
28959,James,45,Non-binary,90194
23263,Sarah,50,Male,45000
40747,Mary,24,Male,90956
30835,John,21,Female,87303
31993,James,48,Non-binary,88477
14031,James,39,Male,36444
6439,Sarah,41,Female,79734
12075,John,21,Male,82536
46209,James,22,Male,36944
49011,John,54,Female,76031
41506,John,64,Female,87387
2813,John,28,Female,40060
37388,Mary,27,Male,72889
38827,James,24,Non-binary,99495
3640,Mary,29,Female,52014
46588,Mary,35,Non-binary,33167
15313,James,58,Female,63358
42564,David,50,Female,74887
22744,Mary,61,Female,51623
34064,John,50,Male,45347
14369,John,64,Non-binary,66643
49918,John,58,Female,83594
29726,John,19,Male,63332
20383,Mary,38,Non-binary,90600
42711,John,60,Non-binary,30078
21251,Mary,55,Male,56765
32066,James,21,Female,59157
33153,Sarah,55,Female,55200
47409,John,29,Male,73294
46385,James,30,Non-binary,44682
32654,John,63,Non-binary,81384
47173,John,18,Male,88974
26141,Mary,60,Female,79696
17989,David,18,Female,98848
4981,James,52,Female,45370
41489,John,50,Non-binary,69007
20325,Mary,26,Non-binary,58726
8248,Sarah,64,Non-binary,89168
43878,Sarah,23,Non-binary,56348
12054,Mary,54,Non-binary,72207
47031,James,29,Male,62297
2261,James,20,Female,68058
7552,Sarah,23,Male,68991
45329,Mary,60,Non-binary,80506
33460,Sarah,34,Female,84089
16014,John,53,Female,52379
23865,James,59,Male,45532
46702,David,50,Male,97578
49173,John,28,Male,91177
10657,Sarah,19,Male,65599
12138,Mary,55,Male,86922
5591,Sarah,25,Male,40474
1817,Sarah,43,Male,85228
26087,Sarah,18,Male,71557
4538,David,23,Female,87915
21576,James,55,Male,76722
15962,Sarah,42,Male,65933
26546,Sarah,18,Male,70193
6951,David,56,Non-binary,85863
28636,David,34,Male,49807
31163,Mary,19,Male,47335
5479,Sarah,41,Female,96722
41490,Sarah,52,Male,30030
41156,James,47,Female,56800
7028,John,55,Female,81276
21226,David,42,Male,61937
23153,Mary,56,Male,72822
31204,David,39,Male,31884
25139,John,46,Female,57291
1530,Sarah,64,Non-binary,66745
20267,James,34,Female,61766
31091,David,55,Male,43085
49685,John,22,Non-binary,59548
11789,John,44,Female,49696
2037,Mary,48,Male,65339
46719,Mary,30,Non-binary,43602
42315,Sarah,23,Non-binary,59143
47733,David,56,Female,51597
43917,David,20,Non-binary,55256
569,David,56,Female,69173
25254,James,57,Male,92333
39708,Mary,57,Female,97586
18877,Mary,36,Non-binary,67408
12657,James,42,Non-binary,84340
1704,Mary,26,Female,86722
44666,Sarah,23,Female,86954
31767,John,40,Non-binary,57445
40166,Sarah,52,Non-binary,51436
22274,Sarah,32,Female,55136
27784,David,39,Male,43597
48883,Sarah,28,Female,48146
47530,James,56,Female,83768
15455,Mary,48,Female,70378
34255,David,40,Non-binary,61351
18088,Mary,56,Male,34891
39497,James,48,Male,90738
33559,James,37,Male,62184
45577,John,28,Male,38170
43031,John,21,Female,99932
40721,David,33,Non-binary,98377
29959,Sarah,56,Female,42736
21543,James,63,Non-binary,94955
38193,James,64,Male,80533
14621,Sarah,40,Non-binary,89733
3333,Sarah,28,Male,46960
41287,John,64,Female,82937
15250,James,30,Male,40844
24886,John,28,Female,50272
48062,Sarah,50,Non-binary,67329
11252,John,26,Male,83901
5228,Sarah,38,Female,97144
38402,Mary,36,Female,48469
32142,Mary,24,Female,80305
11701,James,22,Male,30305
46750,Sarah,31,Female,95617
88,Sarah,41,Non-binary,71124
29866,John,63,Female,54192
16894,Mary,59,Non-binary,84943
12046,David,46,Female,31388
49449,Mary,19,Male,44622
18143,Sarah,45,Female,63980
18353,James,51,Female,31868
49082,David,64,Male,60222
7486,David,53,Female,36002
9183,John,50,Non-binary,59124
33438,David,51,Male,76720
29402,John,46,Non-binary,38331
45022,James,56,Female,31247
18778,Mary,23,Non-binary,31268
23673,James,43,Non-binary,57398
22499,Mary,64,Male,38542
48706,James,39,Male,48871
45211,Mary,53,Male,61604
29070,James,39,Non-binary,52311
38248,David,32,Female,70386
35703,James,30,Female,37097
36983,John,40,Non-binary,87815
17058,Mary,60,Male,73826
36114,David,38,Male,45094
30396,Sarah,48,Male,47934
9461,Mary,49,Male,54807
34484,James,22,Male,46544
43213,John,21,Non-binary,69527
39330,Sarah,45,Non-binary,66146
47354,John,61,Female,31037
28326,Mary,56,Female,86266
10899,David,33,Male,76508
12424,David,20,Male,81827
25915,John,52,Male,42272
12862,James,32,Male,45006
47095,Mary,46,Female,60131
4420,John,30,Male,69832
26210,Mary,23,Male,92960
33838,John,63,Female,57930
28238,Sarah,24,Male,87873
48593,Sarah,63,Non-binary,56731
45429,David,48,Female,96416
30125,Sarah,35,Non-binary,87203
15707,John,46,Male,85476
7546,John,53,Male,44127
45056,Mary,19,Female,37909
38226,Sarah,27,Male,65323
46936,James,23,Non-binary,48361
15625,James,29,Male,43285
3067,Mary,56,Non-binary,61067
28002,David,57,Male,75537
33407,John,57,Non-binary,65558
7802,David,54,Male,94230
34757,John,18,Male,76609
5282,John,53,Female,55867
38656,Mary,40,Male,89199
4316,David,52,Male,73783
22079,Sarah,30,Male,33718
27905,Sarah,23,Non-binary,70446
25828,John,30,Male,80928
13577,David,29,Non-binary,87520
29662,James,29,Female,48194
17082,David,34,Male,30151
33637,James,44,Non-binary,83619
12682,David,48,Male,44885
26167,Mary,19,Non-binary,96029
27729,Mary,24,Non-binary,72354
26245,James,30,Female,61222
21104,John,32,Female,36093
13292,Mary,21,Female,48329
3747,Sarah,52,Female,48905
12784,Mary,40,Male,98219
28494,James,59,Non-binary,43145
10161,Mary,63,Female,49210
14254,Mary,23,Female,74024
45666,Mary,21,Female,72678
30184,Mary,37,Male,54985
35837,John,45,Non-binary,44301
35517,David,62,Non-binary,35731
8453,James,46,Female,49026
49300,Sarah,52,Non-binary,73854
40515,John,28,Male,77402
8604,John,29,Female,54165
35210,David,48,Male,30205
9646,David,25,Female,61311
24649,Mary,45,Non-binary,88371
23306,John,40,Non-binary,44717
26316,Sarah,37,Non-binary,55455
7942,John,36,Non-binary,99779
32699,John,26,Female,63600
44504,David,60,Female,93097
37891,Sarah,35,Male,44615
49522,Sarah,57,Male,33136
47406,James,28,Female,47433
37759,David,63,Female,68114
41933,James,40,Female,66507
33909,John,20,Non-binary,58219
48047,David,18,Non-binary,85760
24139,John,37,Non-binary,71037
22794,James,49,Male,43013
8920,John,41,Female,47876
36971,James,29,Female,94845
26626,James,24,Non-binary,60686
22092,James,22,Non-binary,30850
39453,Sarah,32,Female,45801
20147,John,19,Male,59010
45930,David,43,Female,42144
34440,Sarah,37,Male,49533
10991,Sarah,59,Female,66045
43828,James,55,Male,88560
38904,James,38,Female,37876
36820,John,39,Female,78804
23979,John,31,Non-binary,82589
37683,Mary,34,Non-binary,95808
11767,David,25,Male,61905
13983,James,36,Female,40172
21596,David,38,Female,36744
32548,David,40,Female,62695
11308,John,45,Male,79770
34383,David,18,Male,93140
42566,David,58,Male,68333
12060,David,37,Female,99979
31586,David,26,Female,40251
9903,James,20,Male,66106
38210,John,57,Non-binary,70350
41956,James,37,Female,47740
42083,Sarah,64,Non-binary,35433
37315,Mary,50,Male,86750
43301,Mary,31,Non-binary,69426
46478,David,36,Male,88265
11344,Sarah,58,Female,99481
7645,Sarah,52,Male,51125
11387,James,51,Female,70203
11793,Sarah,30,Male,35649
46135,John,31,Male,50965
35140,John,34,Non-binary,95441
7408,John,33,Non-binary,75250
33325,James,39,Non-binary,84718
43624,Sarah,63,Non-binary,86280
3130,John,25,Male,43504
15391,Sarah,63,Non-binary,90054
41021,James,23,Male,72251
42868,Sarah,39,Female,42105
43647,Mary,51,Female,55711
2113,Mary,20,Female,44188
15676,David,37,Female,54105
49906,James,36,Male,49672
30919,David,47,Non-binary,97792
17425,Sarah,18,Female,84483
47467,Sarah,57,Female,41648
29844,John,42,Female,89839
29394,Sarah,43,Female,78065
34677,James,41,Female,64349
45378,John,38,Non-binary,87867
18646,David,36,Male,30660
13584,David,33,Female,55888
31934,John,60,Male,66831
38878,John,58,Non-binary,36576
18737,Mary,41,Male,79686
48146,Sarah,19,Non-binary,44887
41821,David,21,Non-binary,88145
12041,Mary,51,Female,74139
7341,Sarah,20,Male,73407
24791,John,55,Male,92642
43827,David,33,Female,64163
21945,John,33,Male,60922
39357,John,21,Female,30491
17559,James,24,Male,75414
27831,Mary,18,Female,46091
19358,John,23,Female,31470
22857,Sarah,38,Male,43905
2744,Mary,34,Non-binary,86087
17466,Sarah,31,Male,39625
19460,James,55,Male,83734
34701,James,60,Female,55116
1876,Mary,25,Male,38456
21861,David,53,Non-binary,63910
7660,Mary,58,Non-binary,88151
13808,John,47,Non-binary,39993
15407,David,32,Female,30289
32438,Sarah,22,Female,61264
40410,James,37,Female,85336
39376,David,41,Female,42535
43791,James,30,Non-binary,67904
31803,James,39,Male,41527
28058,James,37,Female,47160
46553,Sarah,41,Non-binary,95453
16638,John,37,Non-binary,39540
24070,James,43,Non-binary,87344
45320,James,53,Non-binary,92427
6011,John,51,Non-binary,37103
47014,Sarah,41,Non-binary,89755
16210,James,61,Non-binary,57437
16604,James,55,Male,31683
37219,Mary,35,Male,38025
46743,Mary,32,Non-binary,73428
36613,Sarah,24,Male,81589
31137,David,30,Male,79888
20049,John,62,Female,81513
34436,James,31,Non-binary,32306
47441,Sarah,62,Female,32671
48443,David,56,Male,51749
1237,Sarah,48,Non-binary,79714
15986,Mary,43,Male,60929
12722,David,37,Female,46329
27617,David,19,Male,56322
26848,James,38,Male,47432
25148,Sarah,30,Female,49772
36466,John,50,Female,30435
125,John,59,Male,85262
15378,John,18,Male,38236
36795,John,54,Male,79777
41645,David,28,Non-binary,72719
23524,Sarah,38,Male,51719
16231,James,61,Male,79046
6371,Sarah,50,Non-binary,77971
572,Sarah,56,Female,39776
37803,Sarah,43,Female,39491
46050,John,46,Female,40356
7907,Mary,28,Male,42175
48814,Mary,18,Male,98727
39195,Sarah,40,Female,73062
22233,Sarah,61,Male,66577
28027,Mary,27,Female,40068
598,James,38,Male,43785
98,James,58,Female,92367
17225,David,45,Non-binary,30863
21102,David,30,Female,34354
6486,John,53,Male,94770
38646,Sarah,28,Non-binary,35216
9149,John,54,Non-binary,62468
24730,David,33,Female,98570
21977,David,44,Non-binary,63064
38571,John,42,Male,40366
44355,David,22,Female,84121
40471,John,63,Non-binary,72964
25683,John,18,Non-binary,55153
40381,Sarah,45,Male,95541
25624,David,52,Male,75581
22056,James,23,Male,68352
15394,Sarah,30,Non-binary,94455
13190,John,25,Non-binary,93648
19045,James,29,Male,37002
19644,Mary,34,Male,80889
14105,James,45,Female,30508
34817,Mary,28,Male,55856
21116,Mary,60,Female,50220
32010,Sarah,55,Male,34693
31361,Mary,33,Non-binary,74719
2668,Sarah,62,Female,49001
49088,John,33,Female,86883
22408,Sarah,30,Non-binary,74484
20883,John,26,Male,80192
8661,David,40,Female,85366
21914,David,39,Male,48550
35226,James,28,Female,97200
14,Mary,30,Male,95804
27326,Mary,56,Female,93362
21050,Mary,59,Male,34913
27030,David,29,Female,96409
28422,David,24,Female,68867
17846,David,43,Male,42536
4544,Sarah,20,Female,93221
48270,John,39,Non-binary,56091
30017,Mary,26,Female,41562
41289,Mary,52,Female,85873
21441,John,49,Non-binary,87397
6877,Sarah,54,Non-binary,68367
8226,John,45,Female,71158
17828,Mary,46,Non-binary,73059
6684,Mary,64,Non-binary,93231
21694,Mary,36,Non-binary,69238
18717,Mary,19,Non-binary,43139
25410,James,42,Male,47071
22760,John,31,Non-binary,77647
20908,Sarah,24,Female,98244
11407,Mary,38,Female,55455
42173,Mary,39,Non-binary,82797
25343,James,43,Male,88436
15097,John,46,Non-binary,30777
4376,Sarah,52,Female,98474
37075,David,45,Female,55847
17378,Sarah,59,Non-binary,32796
46840,David,61,Male,46028
25312,James,54,Female,83890
23858,Sarah,35,Male,80541
18930,Sarah,31,Male,56813
6719,John,62,Male,59206
31550,Mary,61,Female,75560
21028,John,48,Male,38992
43218,James,25,Non-binary,76131
24184,Sarah,51,Female,71910
46315,Sarah,34,Non-binary,80689
44705,Sarah,39,Male,95545
14005,David,34,Non-binary,85934
6078,Mary,59,Non-binary,90209
11547,Sarah,60,Non-binary,87764
41040,Mary,29,Non-binary,57120
7799,James,61,Non-binary,42913
30592,John,60,Non-binary,62677
1365,John,22,Non-binary,81787
34639,James,25,Male,33335
34759,David,53,Male,98278
10259,Sarah,43,Female,38849
28742,John,63,Female,61070
25480,David,63,Female,93410
26392,John,38,Male,80037
21771,Mary,60,Male,38532
46329,David,45,Male,92512
33557,Sarah,64,Female,50558
48061,Sarah,57,Non-binary,50106
25899,Mary,57,Male,69265
8807,James,54,Female,63659
34060,James,62,Female,81668
13627,David,34,Female,81714
18786,Mary,33,Male,68513
34497,Sarah,41,Female,60699
17410,Sarah,45,Male,76070
24126,Mary,52,Male,32554
8766,David,64,Male,89010
30656,Sarah,19,Male,92692
41688,John,45,Non-binary,93294
29595,Sarah,48,Female,42225
22094,James,32,Male,54920
1455,John,50,Female,93186
5244,Sarah,55,Non-binary,56569
42818,David,60,Female,82426
49137,James,31,Male,31540
31771,David,35,Male,88787
930,David,27,Female,48623
387,James,25,Non-binary,74050
16572,Sarah,26,Non-binary,90738
26773,Mary,38,Male,81970
9248,Mary,18,Male,65330
27386,James,46,Male,94716
41437,David,34,Non-binary,78244
17126,David,25,Male,75000
42912,Sarah,54,Female,55957
9636,John,20,Female,38759
15275,David,44,Male,79693
16818,John,63,Non-binary,89240
25414,Sarah,63,Male,78671
7890,Mary,45,Female,79235
36790,Mary,64,Non-binary,40143
34189,Mary,51,Non-binary,36179
48688,John,26,Non-binary,69219
8515,Sarah,34,Non-binary,69253
15606,James,42,Female,63206
46165,David,61,Male,82868
44236,James,42,Female,42418
47065,Sarah,33,Male,44662
23012,Mary,41,Female,93611
29533,John,36,Non-binary,49128
2646,Sarah,25,Non-binary,68039
39187,Sarah,53,Female,83082
23014,James,53,Female,74780
14752,James,45,Female,69583
17874,James,43,Male,59093
7147,James,37,Non-binary,85771
45454,James,19,Male,83535
13450,David,51,Female,83171
11281,Sarah,53,Non-binary,77976
13047,James,19,Male,38296
23200,David,63,Non-binary,34817
17284,Sarah,32,Non-binary,89396
41194,David,28,Female,31751
21469,Sarah,30,Female,67600
41741,Mary,20,Male,49521
19453,Sarah,25,Non-binary,99181
42354,Mary,23,Male,60752
39283,Mary,33,Male,60381
38325,Mary,25,Female,93404
46124,Sarah,43,Male,33868
41679,John,45,Non-binary,68353
9377,John,20,Female,62728
5552,David,40,Non-binary,42633
40331,David,55,Male,57005
922,David,27,Female,33975
26959,John,38,Non-binary,65640
774,Sarah,51,Male,53809
45762,David,60,Female,90786
26606,Mary,35,Non-binary,92918
32831,John,44,Female,89386
1102,David,56,Non-binary,91929
15940,John,60,Non-binary,60961
2571,Sarah,38,Non-binary,58659
16593,Mary,33,Non-binary,86204
41803,Mary,21,Non-binary,76473
45181,John,25,Non-binary,73393
37586,Sarah,31,Male,36501
3373,Mary,30,Female,76992
6519,James,22,Male,92105
15902,David,24,Female,85524
25183,Mary,64,Female,45925
17040,John,46,Male,35522
39541,David,62,Male,30805
31282,John,33,Female,55985
12758,Sarah,25,Male,85743
33891,Mary,28,Non-binary,30219
6070,Mary,57,Female,80856
33796,Sarah,63,Non-binary,79242
5051,James,23,Male,70818
31054,Mary,19,Female,87647
5023,James,24,Male,54697
30903,Mary,47,Non-binary,35715
33010,John,42,Female,42631
46668,James,42,Male,37386
1862,John,61,Non-binary,94755
8967,James,32,Non-binary,92348
13503,John,40,Non-binary,95169
31742,James,49,Male,97802
4311,James,31,Female,30344
28523,James,29,Female,41598
26864,David,25,Non-binary,62563
14915,John,19,Non-binary,34699
12118,Mary,47,Non-binary,62731
44607,Sarah,19,Male,95017
19497,Mary,44,Male,62415
36130,Sarah,47,Male,56292
5,John,20,Non-binary,91930
17818,David,61,Male,53391
18062,Mary,31,Non-binary,59981
44116,James,46,Non-binary,54010
17566,David,36,Male,83782
36876,James,30,Non-binary,85930
44359,David,44,Female,56931
30156,David,45,Non-binary,88528
19323,John,51,Female,32427
30295,Mary,25,Female,72897
29293,James,56,Male,34598
46850,James,30,Male,46818
22413,Mary,24,Female,76391
17132,James,43,Non-binary,45346
704,Sarah,24,Male,63981
14704,David,54,Non-binary,46607
14844,Mary,35,Male,96559
26582,Mary,56,Female,92704
34570,John,55,Male,72919
34353,David,37,Non-binary,70297
7802,Sarah,49,Female,50738
25267,Sarah,24,Female,60654
48490,Mary,29,Female,78327
34917,Sarah,49,Non-binary,48470
40805,Mary,56,Male,38281
16286,David,47,Non-binary,51951
20727,David,48,Female,88539
15844,Sarah,40,Non-binary,96307
4242,James,60,Non-binary,63090
13073,John,35,Male,98123
25508,John,35,Male,68032
14334,James,54,Female,87217
28802,Mary,49,Female,77933
3835,David,48,Non-binary,82344
2550,David,58,Female,75687
5963,James,18,Non-binary,68863
37803,John,22,Female,85965
24169,David,44,Non-binary,97979
15194,Sarah,63,Female,41146
37430,James,28,Non-binary,91040
44089,James,26,Non-binary,55718
40785,James,27,Non-binary,40129
28626,David,23,Female,78175
42003,Mary,52,Male,48541
31603,Mary,29,Non-binary,31460
42362,David,35,Female,67561
34362,James,62,Male,43186
45046,Mary,38,Female,64765
41406,Mary,31,Non-binary,89576
25010,John,21,Female,66443
21676,James,54,Male,41864
14641,James,34,Male,90803
44358,David,18,Male,68475
22097,John,51,Female,72720
38935,Sarah,47,Male,80593
30994,Sarah,18,Female,67847
23725,Mary,62,Male,46113
44171,David,34,Male,71610
40917,David,21,Non-binary,62366
25291,John,62,Male,83451
30315,James,29,Female,63245
39248,David,18,Female,54245
2273,James,26,Female,99907
25032,John,33,Female,72050
47867,John,36,Female,88553
32255,Sarah,21,Non-binary,85807
10525,James,63,Male,50642
39088,David,24,Male,83287
10705,James,45,Female,73334
21116,Sarah,32,Non-binary,31624
15819,John,60,Non-binary,38168
47338,James,53,Non-binary,54147
29222,James,46,Male,68026
16485,John,55,Male,31873
